symbol,name,sector,industry
AACG,ATA Creativity Global ADR,N/A,기타 교육 서비스 제공
AADI,Aadi Bioscience Inc,N/A,제약
AAL,American Airlines Group Inc,N/A,항공사
AAME,Atlantic American Corp,N/A,생명 및 건강 보험
AAOI,Applied Optoelectronics Inc,N/A,전자 장비 및 부품
AAON,Aaon Inc,N/A,전기 부품 및 장비
AAPL,Apple Inc,N/A,전화 및 소형 장치
ABAT,American Battery Technology Co,N/A,농화학제
ABCL,Abcellera Biologics Inc,N/A,생명 공학 및 의학 연구
ABEO,Abeona Therapeutics Inc,N/A,생명 공학 및 의학 연구
ABL,Abacus Life Inc,N/A,복합보험 및 중개인
ABLLL,Abacus Life 9 87 Fixed Rate Senior Notes due 2028,N/A,복합보험 및 중개인
ABLV,Able View Global Inc,N/A,기타 전문 소매
ABNB,Airbnb Inc,N/A,온라인 서비스
ABOS,Acumen Pharmaceuticals Inc,N/A,생명 공학 및 의학 연구
ABP,ABPRO Holdings Inc,N/A,생명 공학 및 의학 연구
ABSI,Absci Corp,N/A,생명 공학 및 의학 연구
ABTS,Abits Group Inc,N/A,온라인 서비스
ABUS,Arbutus Biopharma Corp,N/A,생명 공학 및 의학 연구
ABVC,ABVC Biopharma Inc,N/A,생명 공학 및 의학 연구
ABVE,Above Food Ingredients Inc,N/A,어업 및 농업
ABVX,Abivax SA ADR,N/A,생명 공학 및 의학 연구
ACAD,ACADIA Pharmaceuticals Inc,N/A,생명 공학 및 의학 연구
ACB,Aurora Cannabis Inc,N/A,제약
ACCD,Accolade Inc,N/A,의료 시설 및 서비스
ACDC,ProFrac Holding Corp,N/A,오일 관련 서비스 및 장비
ACET,Adicet Bio Inc,N/A,생명 공학 및 의학 연구
ACGL,Arch Capital Group Ltd,N/A,손해보험
ACGLN,Arch Capital Group Depositary Shares Rep1000 Non Cumu Pref Shs Series G,N/A,손해보험
ACGLO,Acrh Cap Group 1000 Dep Shs Repstg Non Cumulative Pref Shs Series F,N/A,손해보험
ACHC,Acadia Healthcare Company Inc,N/A,의료 시설 및 서비스
ACHL,Achilles Therapeutics PLC ADR,N/A,생명 공학 및 의학 연구
ACHV,Achieve Life Sciences Inc,N/A,생명 공학 및 의학 연구
ACIC,American Coastal Insurance Corp,N/A,손해보험
ACIU,AC Immune SA,N/A,생명 공학 및 의학 연구
ACIW,ACI Worldwide Inc,N/A,핀테크
ACLS,Axcelis Technologies Inc,N/A,반도체 장비 및 테스트
ACLX,Arcellx Inc,N/A,생명 공학 및 의학 연구
ACMR,ACM Research Inc,N/A,반도체 장비 및 테스트
ACNB,ACNB Corp,N/A,은행
ACNT,Ascent Industries Co,N/A,철 및 강철
ACOG,Alpha Cognition Inc,N/A,생명 공학 및 의학 연구
ACON,Aclarion Inc,N/A,생명 공학 및 의학 연구
ACRS,Aclaris Therapeutics Inc,N/A,생명 공학 및 의학 연구
ACRV,Acrivon Therapeutics Inc,N/A,생명 공학 및 의학 연구
ACT,Enact Holdings Inc,N/A,손해보험
ACTG,Acacia Research Corp,N/A,경영 지원 서비스
ACTU,Actuate Therapeutics Inc,N/A,생명 공학 및 의학 연구
ACVA,ACV Auctions Inc,N/A,온라인 서비스
ACXP,Acurx Pharmaceuticals Inc,N/A,생명 공학 및 의학 연구
ADAG,Adagene Inc ADR,N/A,생명 공학 및 의학 연구
ADAP,Adaptimmune Therapeutics PLC ADR,N/A,생명 공학 및 의학 연구
ADBE,Adobe Inc,N/A,소프트웨어
ADD,Color Star Technology Co Ltd,N/A,기타 교육 서비스 제공
ADEA,Adeia Inc,N/A,IT 서비스 및 컨설팅
ADGM,Adagio Medical Holdings Inc,N/A,첨단 의료 장비 및 기술
ADI,Analog Devices Inc,N/A,반도체
ADIL,Adial Pharmaceuticals Inc,N/A,생명 공학 및 의학 연구
ADMA,ADMA Biologics Inc,N/A,제약
ADN,Advent Technologies Holdings Inc,N/A,재생 가능 에너지 장비 및 서비스
ADP,Automatic Data Processing Inc,N/A,IT 서비스 및 컨설팅
ADPT,Adaptive Biotechnologies Corp,N/A,생명 공학 및 의학 연구
ADSE,Ads-Tec Energy PLC,N/A,전기 부품 및 장비
ADSK,Autodesk Inc,N/A,소프트웨어
ADTN,ADTRAN Holdings Inc,N/A,통신 및 네트워킹
ADTX,Aditxt Inc,N/A,생명 공학 및 의학 연구
ADUR,Aduro Clean Technologies Inc,N/A,환경 서비스 및 장비
ADUS,Addus Homecare Corp,N/A,의료 시설 및 서비스
ADV,Advantage Solutions Inc,N/A,광고 및 마케팅
ADVM,Adverum Biotechnologies Inc,N/A,생명 공학 및 의학 연구
ADXN,Addex Therapeutics Ltd ADR,N/A,생명 공학 및 의학 연구
AEHL,Antelope Enterprise Holdings Ltd,N/A,온라인 서비스
AEHR,Aehr Test Systems,N/A,반도체 장비 및 테스트
AEI,Alset Inc,N/A,건설 및 엔지니어링
AEIS,Advanced Energy Industries Inc,N/A,전기 부품 및 장비
AEMD,Aethlon Medical Inc,N/A,첨단 의료 장비 및 기술
AENT,Alliance Entertainment Holding Corp,N/A,전자 장비 및 부품
AEP,American Electric Power Company Inc,N/A,전력 유틸리티
AERT,Aeries Technology Inc,N/A,경영 지원 서비스
AEYE,AudioEye Inc,N/A,IT 서비스 및 컨설팅
AFBI,Affinity Bancshares Inc,N/A,은행
AFCG,Advanced Flower Capital Inc,N/A,특수 REITs
AFJK,Aimei Health Technology Co Ltd,N/A,투자 지주 회사
AFJKR,Aimei Health Technology Rights Exp 17 November 2028,N/A,투자 지주 회사
AFJKU,Aimei Health Technology Units,N/A,투자 지주 회사
AFMD,Affimed NV,N/A,생명 공학 및 의학 연구
AFRI,Forafric Global PLC,N/A,식품 가공
AFRM,Affirm Holdings Inc,N/A,핀테크
AFYA,Afya Ltd,N/A,전문 및 비즈니스 교육
AGAE,Allied Gaming & Entertainment Inc,N/A,온라인 서비스
AGEN,Agenus Inc,N/A,생명 공학 및 의학 연구
AGFY,Agrify Corp,N/A,어업 및 농업
AGIO,Agios Pharmaceuticals Inc,N/A,생명 공학 및 의학 연구
AGMH,AGM Group Holdings Inc,N/A,소프트웨어
AGNC,AGNC Investment Corp,N/A,특수 REITs
AGNCL,AGNC Invt Dep Shs Repstg 1 1000Th Pref Shs Series G,N/A,특수 REITs
AGNCM,AGNC Investment 1000 DS Rep 6.875 Fixed to Floating Cumulative Redeemable Pref,N/A,특수 REITs
AGNCN,Agnc Invt 1000 DS Repstg Pref Shs Series C,N/A,특수 REITs
AGNCO,AGNC Investment DS REP 1/1000 Cumulative Pref Shs Series E,N/A,특수 REITs
AGNCP,Agnc Invt 1000 Dep Shs Repstg Cum Red Prf Series F,N/A,특수 REITs
AGRI,AgriFORCE Growing Systems Ltd,N/A,제약
AGYS,Agilysys Inc,N/A,소프트웨어
AHCO,Adapthealth Corp,N/A,"의료 장비, 물품 및 유통"
AHG,Akso Health Group ADR,N/A,온라인 서비스
AIEV,Thunder Power Holdings Inc,N/A,투자 지주 회사
AIFF,Firefly Neuroscience Inc,N/A,IT 서비스 및 컨설팅
AIFU,AIX Inc ADR,N/A,복합보험 및 중개인
AIHS,Senmiao Technology Ltd,N/A,"자동차 차량, 부품 및 서비스 소매"
AILE,iLearningEngines Inc,N/A,소프트웨어
AIMAU,Aimfinity Investment I Units,N/A,투자 지주 회사
AIMBU,Aimfinity Investment I Subunit,N/A,투자 지주 회사
AIMD,Ainos Inc,N/A,생명 공학 및 의학 연구
AIOT,PowerFleet Inc,N/A,IT 서비스 및 컨설팅
AIP,Arteris Inc,N/A,소프트웨어
AIRE,reAlpha Tech Corp,N/A,소프트웨어
AIRG,Airgain Inc,N/A,통신 및 네트워킹
AIRJ,Airjoule Technologies Corp,N/A,환경 서비스 및 장비
AIRS,Airsculpt Technologies Inc,N/A,의료 시설 및 서비스
AIRT,Air T Inc,N/A,"배달, 우편, 항공 화물 및 육상 물류"
AIRTP,Air T Funding Alpha Income Pref Shs,N/A,기업 금융 서비스
AISP,Airship AI Holdings Inc,N/A,IT 서비스 및 컨설팅
AITR,AI Transportation Acquisition Corp,N/A,투자 지주 회사
AITRR,AI Transportation Acquisition Rights,N/A,투자 지주 회사
AITRU,AI Transportation Acquisition Units,N/A,투자 지주 회사
AIXI,Xiao-I Corp ADR,N/A,소프트웨어
AKAM,Akamai Technologies Inc,N/A,IT 서비스 및 컨설팅
AKAN,Akanda Corp,N/A,의료 시설 및 서비스
AKBA,Akebia Therapeutics Inc,N/A,생명 공학 및 의학 연구
AKRO,Akero Therapeutics Inc,N/A,생명 공학 및 의학 연구
AKTX,Akari Therapeutics PLC ADR,N/A,제약
AKYA,Akoya Biosciences Inc,N/A,첨단 의료 장비 및 기술
ALAB,Astera Labs Inc,N/A,반도체
ALAR,Alarum Technologies Ltd ADR,N/A,소프트웨어
ALBT,Avalon Globocare Corp,N/A,의료 시설 및 서비스
ALCE,Alternus Clean Energy Inc,N/A,전력 유틸리티
ALCO,Alico Inc,N/A,어업 및 농업
ALCY,Alchemy Investments Acquisition Corp 1,N/A,투자 지주 회사
ALCYU,Alchemy Investments Acquisition Units,N/A,투자 지주 회사
ALDF,Aldel Financial II Inc,N/A,투자 지주 회사
ALDFU,Aldel Financial II Units,N/A,투자 지주 회사
ALDX,Aldeyra Therapeutics Inc,N/A,생명 공학 및 의학 연구
ALEC,Alector Inc,N/A,생명 공학 및 의학 연구
ALF,Centurion Acquisition Corp,N/A,투자 지주 회사
ALFUU,Centurion Acquisition Units Expiry 22nd May 2029,N/A,투자 지주 회사
ALGM,Allegro Microsystems Inc,N/A,반도체
ALGN,Align Technology Inc,N/A,"의료 장비, 물품 및 유통"
ALGS,Aligos Therapeutics Inc,N/A,생명 공학 및 의학 연구
ALGT,Allegiant Travel Co,N/A,항공사
ALHC,Alignment Healthcare Inc,N/A,의료 관리
ALKS,Alkermes Plc,N/A,생명 공학 및 의학 연구
ALKT,Alkami Technology Inc,N/A,IT 서비스 및 컨설팅
ALLK,Allakos Inc,N/A,생명 공학 및 의학 연구
ALLO,Allogene Therapeutics Inc,N/A,생명 공학 및 의학 연구
ALLR,Allarity Therapeutics Inc,N/A,생명 공학 및 의학 연구
ALLT,Allot Ltd,N/A,소프트웨어
ALMS,Alumis Inc,N/A,생명 공학 및 의학 연구
ALNT,Allient Inc,N/A,전기 부품 및 장비
ALNY,Alnylam Pharmaceuticals Inc,N/A,제약
ALOT,AstroNova Inc,N/A,컴퓨터 하드웨어
ALRM,Alarm.com Holdings Inc,N/A,소프트웨어
ALRN,Aileron Therapeutics Inc,N/A,생명 공학 및 의학 연구
ALRS,Alerus Financial Corp,N/A,은행
ALT,Altimmune Inc,N/A,생명 공학 및 의학 연구
ALTI,AlTi Global  Inc,N/A,투자 관리 및 펀드 운영
ALTO,Alto Ingredients Inc,N/A,재생 가능 연료
ALTR,Altair Engineering Inc,N/A,IT 서비스 및 컨설팅
ALTS,ALT5 Sigma Corp,N/A,핀테크
ALVO,Alvotech SA,N/A,생명 공학 및 의학 연구
ALVR,Allovir Inc,N/A,생명 공학 및 의학 연구
ALXO,ALX Oncology Holdings Inc,N/A,생명 공학 및 의학 연구
ALZN,Alzamend Neuro Inc,N/A,생명 공학 및 의학 연구
AMAL,Amalgamated Bank,N/A,은행
AMAT,Applied Materials Inc,N/A,반도체 장비 및 테스트
AMBA,Ambarella Inc,N/A,반도체
AMCX,AMC Networks Inc,N/A,방송
AMD,Advanced Micro Devices Inc,N/A,반도체
AMED,Amedisys Inc,N/A,의료 시설 및 서비스
AMGN,Amgen Inc,N/A,제약
AMIX,Autonomix Medical Inc,N/A,첨단 의료 장비 및 기술
AMKR,Amkor Technology Inc,N/A,반도체 장비 및 테스트
AMLX,Amylyx Pharmaceuticals Inc,N/A,제약
AMOD,Alpha Modus Holdings Inc,N/A,IT 서비스 및 컨설팅
AMPG,Amplitech Group Inc,N/A,통신 및 네트워킹
AMPH,Amphastar Pharmaceuticals Inc,N/A,제약
AMPL,Amplitude Inc,N/A,소프트웨어
AMRK,A-Mark Precious Metals Inc,N/A,금 제외 귀금속 및 광물
AMRN,Amarin Corporation PLC ADR,N/A,생명 공학 및 의학 연구
AMRX,Amneal Pharmaceuticals Inc,N/A,제약
AMSC,American Superconductor Corp,N/A,전기 부품 및 장비
AMSF,Amerisafe Inc,N/A,손해보험
AMST,Amesite Inc,N/A,소프트웨어
AMTX,Aemetis Inc,N/A,재생 가능 연료
AMWD,American Woodmark Corp,N/A,건설 자재 및 비품
AMZN,Amazon.com Inc,N/A,백화점
ANAB,AnaptysBio Inc,N/A,생명 공학 및 의학 연구
ANDE,Andersons Inc,N/A,어업 및 농업
